,Blue,Red,LogID,GameMode,Map
297,Unknown,Impostors,3644718,PL,pl_vigil_rc10
298,Dreamybull's Kitchen,Unknown,3644702,PL,pl_vigil_rc10
299,Impostors,Unknown,3644681,KOTH,koth_product_final
300,Unknown,Dreamybull's Kitchen,3644678,KOTH,koth_product_final
301,Unknown,Impostors,3644667,PL,pl_vigil_rc10
302,somebody help,@MST,3641712,PL,pl_vigil_rc10
303,somebody help,@MST,3641679,PL,pl_vigil_rc10
304,Unknown,Dreamybull's Kitchen,3641678,KOTH,koth_product_final
305,somebody help,@MST,3641636,PL,pl_upward_f10
306,Unknown,Dreamybull's Kitchen,3641615,KOTH,koth_ashville_final1
307,@MST,somebody help,3641587,KOTH,koth_product_final
308,Unknown,Dreamybull's Kitchen,3641583,KOTH,koth_product_final
309,@MST,Unknown,3641159,PL,pl_vigil_rc10
310,FroggieLand,Impostors,3641153,PL,pl_upward_f11
311,Dreamybull's Kitchen,Unknown,3641147,KOTH,koth_product_final
312,Dreamybull's Kitchen,Unknown,3641125,KOTH,koth_ashville_final
313,@MST,Unknown,3641108,KOTH,koth_ashville_final
314,FroggieLand,Impostors,3641107,KOTH,koth_ashville_final1
315,somebody help,Unknown,3641091,PL,pl_vigil_rc10
316,Dreamybull's Kitchen,Unknown,3641086,KOTH,koth_product_final
317,Unknown,FroggieLand,3641083,PL,pl_vigil_rc10
318,@MST,Unknown,3641074,PL,pl_vigil_rc10
319,Dreamybull's Kitchen,Unknown,3641070,KOTH,koth_product_final
320,Dreamybull's Kitchen,Unknown,3641061,KOTH,koth_product_final
321,@MST,Unknown,3641048,KOTH,koth_product_final
322,Unknown,Dreamybull's Kitchen,3641045,PL,pl_upward
323,Unknown,somebody help,3641044,KOTH,koth_product_final
324,FroggieLand,Unknown,3641043,KOTH,koth_ashville_final
325,Unknown,@MST,3640490,PL,pl_upward_f11
326,@MST,Unknown,3640458,KOTH,koth_product_final
327,Unknown,@MST,3640425,KOTH,koth_ashville_final
328,@MST,Unknown,3640413,PL,pl_vigil_rc10
